"air3-link","air3-link href","highlight","highlight 2","air3-badge-tagline","sr-only 3","air3-rating-value-text","air3-popper-content","air3-badge-tagline 2","air3-badge-tagline 4","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight 3","highlight 4","highlight 5","highlight-color","air3-token","air3-token 2","air3-token 3","air3-token 4","air3-token 5","pr-6","air3-token 6"
"-  (React, Snowflake, Azure, Data Engineering)","https://www.upwork.com/jobs/span-class-highlight-Full-span-span-class-highlight-stack-span-span-class-highlight-developer-span-React-Snowflake-Azure-Data-Engineering_~021915317632527496477/?referrer_url_path=/nx/search/jobs/","Full","stack","Payment verified","Rating is 4.6 out of 5.","4.6","4.62 Stars, based on 18 feedbacks","$10K+","India","Hourly: $8.00 - $12.00","Expert","Est. time:","More than 6 months, 30+ hrs/week","Looking for a -  who is proficient in React, Snowflake and Azure Cloud resources.

Data Engineering experience is an added advantage.","Full","stack","developer","","Microsoft Azure","React","JavaScript","Node.js","Snowflake","5 to 10",""
"AI-Powered News Platform (Spring Boot + Svelte/Solid + Web Scraping +  CMS)","https://www.upwork.com/jobs/Powered-News-Platform-Spring-Boot-Svelte-Solid-Web-Scraping-span-class-highlight-Full-span-CMS_~021915385681329757129/?referrer_url_path=/nx/search/jobs/","Full","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Bosnia and Herzegovina","Fixed price","Intermediate","Est. budget:","$200.00","We're looking for a  to build a modern, AI-powered news publishing platform with  editorial workflow, web scraping, and article synthesis capabilities.
Looking for an experienced Java Spring Boot backend  to lead the core implementation.
Frontend is built with Svelte/Solid.js, fully integrated with ElasticSearch, PostgreSQL, and AI APIs (OpenAI/Hugging Face).

📄  requirements here:
https://www.dropbox.com/scl/fi/ca6vy9wljix3mxejiqusw/-of-a-Scalable-News-Platform-Scala-Play-AI-Sanity-CMS-Integration.paper?rlkey=y0seg8y34bcqgbviosid20r03&st=maahqihr&dl=0","developer","full","developer","","PostgreSQL","API","Database","Database Architecture","TypeScript","Less than 5","Spring Boot"
"Experienced Backend  Needed for Dynamic Website Transformation","https://www.upwork.com/jobs/Experienced-Backend-span-class-highlight-Developer-span-Needed-for-Dynamic-Website-Transformation_~021915385347338034866/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","India","Fixed price","Intermediate","Est. budget:","$25.00","We are looking for a skilled backend  to transform our static website into a fully dynamic site with an integrated admin dashboard. The ideal candidate will have experience in creating user-friendly dashboards that allow control over all website pages. Your ability to implement server-side logic and database management will be key to success in this project. If you are passionate about building functional web applications and have a keen eye for detail, we want to hear from you!","developer","","","Web Development","PHP","JavaScript","WordPress","API","Node.js","5 to 10","Next.js"
"Web App  and CI/CD Integration Expert Needed","https://www.upwork.com/jobs/Web-App-span-class-highlight-Development-span-and-Integration-Expert-Needed_~021915328436604782957/?referrer_url_path=/nx/search/jobs/","Development","","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","India","Fixed price","Intermediate","Est. budget:","$50,000.00","We are seeking skilled professionals to  a web application and manage its continuous integration and continuous deployment (CI/CD) processes. Ideal candidates will have experience in web app creation, ensuring smooth deployment, and integrating automated testing. You will collaborate closely with our team to deliver a robust and scalable application. If you are passionate about web technologies and have a keen eye for detail, we would love to hear from you!","develop","","","Web Development","Java","PHP","JavaScript","Amazon Web Services","","5 to 10",""
"PHP  Needed to Finalize an Existing Project (CodeIgniter, MySQL, Bootstrap 4, Metronic)","https://www.upwork.com/jobs/PHP-span-class-highlight-Developer-span-Needed-Finalize-Existing-Project-CodeIgniter-MySQL-Bootstrap-Metronic_~021915333175608676892/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 4.9 out of 5.","4.9","4.89 Stars, based on 25 feedbacks","$10K+","Nigeria","Fixed price","Expert","Est. budget:","$150.00","We are looking for an experienced PHP  to take over and complete an existing project that is 80% done. The ideal candidate must be highly skilled in PHP, CodeIgniter, MySQL, Bootstrap 4, and Metronic and able to quickly understand the existing codebase to finalize the project in the shortest possible time. Kindly note that you will be paid per each task done.

Project Scope:

1. Analyze and understand the current project status

2. Complete the remaining 20% of the project

3. Fix any bugs and optimize performance

4. Ensure mobile responsiveness and UI consistency (Bootstrap 4 & Metronic)

5. Optimize MySQL queries and database performance

6. Thoroughly test and finalize all features for smooth deployment

Requirements:

✅ Expertise in PHP & CodeIgniter
✅ Strong MySQL skills (query optimization, database structure)
✅ Experience with Bootstrap 4, HTML, CSS, JavaScript (jQuery)
✅ Ability to quickly adapt and complete an existing project with minimal guidance
✅ Strong debugging and problem-solving skills
✅ Proven Upwork history with successful project completions (preferred)

Nice to Have:

🔹 Experience with REST APIs and third-party integrations
🔹 Familiarity with Git version control
🔹 Ability to work under tight deadlines and deliver quality work
🔹 Mobile application  experience (iOS/Android) is an added advantage


Looking forward to collaborating with an experienced, fast, and highly skilled ! 🚀","developer","development","developer","API Development","PHP","CodeIgniter","MySQL","Bootstrap","JavaScript","15 to 20","jQuery"
"Website  & API Expert Needed to Fix Website Loading Issue","https://www.upwork.com/jobs/Website-span-class-highlight-Development-span-amp-API-Expert-Needed-Fix-Website-Loading-Issue_~021915381518571741097/?referrer_url_path=/nx/search/jobs/","Development","","Payment verified","Rating is 5.0 out of 5.","5.0","4.96 Stars, based on 5 feedbacks","$800+","Saudi Arabia","Fixed price","Expert","Est. budget:","$50.00","We're looking for an experienced Website  with strong API configuration skills to help us troubleshoot and resolve a critical issue: our website built with React & Node.J.S is loading (i.e., no 404 or server error), but the actual page content is not displaying.
Project Scope:
•	Investigate and identify the cause of the issue (e.g., theme, plugin, or API conflict).
•	Review front-end and back-end code for any potential errors.
•	Check and reconfigure any related API connections that might be blocking the page from rendering.
•	Implement and test the fix across browsers/devices.
•	Ensure the site performance and user experience are optimized after the fix.
Requirements:
•	Proven experience in website  (preferably WordPress or custom CMS).
•	Deep understanding of API integrations and error handling.
•	Ability to debug both client-side and server-side issues.","Developer","development","","","API","Node.js","React","","","15 to 20",""
"Consultation and Technical Discussion for   Web Application (Frontend, Backend, Database)","https://www.upwork.com/jobs/Consultation-and-Technical-Discussion-for-span-class-highlight-Full-span-span-class-highlight-Stack-span-Web-Application-Frontend-Backend-Database_~021915319195625590272/?referrer_url_path=/nx/search/jobs/","Full","Stack","Payment verified","Rating is 4.5 out of 5.","4.5","4.46 Stars, based on 7 feedbacks","$500+","Indonesia","Fixed price","Intermediate","Est. budget:","$10.00","I’m currently developing and/or maintaining a   web application and I’m looking for an experienced freelancer to provide regular consultation and technical discussions.

I’m looking to collaborate with a  who can help me discuss various topics related to web , such as:

Application flow and structure analysis

Debugging and troubleshooting

Backend architecture (e.g., PHP, CodeIgniter, Laravel, Node.js, etc.)

Frontend (HTML, CSS, JavaScript, React/Vue/Angular, etc.)

Database design and optimization (MySQL, PostgreSQL, MongoDB, etc.)

 best practices and documentation

API integration, authentication, and deployment

The goal of this collaboration is to have someone I can consult with directly—through live sessions (Zoom/Google Meet) or chat—to get insights, technical feedback, or a second opinion on coding and architecture challenges.","full","stack","developer","Web Development","Database Architecture","Web Application","","","","5 to 10",""
"Make origin domain cookie work on a iframe on a different domain","https://www.upwork.com/jobs/Make-origin-domain-cookie-work-iframe-different-domain_~021915367361189322665/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Star, based on 1 feedbacks","$100","Portugal","Fixed price","Intermediate","Est. budget:","$20.00","I have domainX.com/map page that I'm embedding using an iframe on domainY.com/map but I need the cookies from the first domain to work on the second domain.

domainX is on Azure 
domainY is on Vercel","","","","","Vercel","Azure App Service","Web Proxy","","","Less than 5",""
"Vue.js and React. Js  required","https://www.upwork.com/jobs/Vue-and-React-span-class-highlight-developer-span-required_~021915318481887930525/?referrer_url_path=/nx/search/jobs/","developer","","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Stars, based on 53 feedbacks","$7K+","United States","Fixed price","Expert","Est. budget:","$25.00","Looking  who can help me in push notifications issues","developer","","","","Vue.js","JavaScript","React","CSS","HTML5","5 to 10","HTML"
"Azkar Website","https://www.upwork.com/jobs/Azkar-Website_~021915324476429150365/?referrer_url_path=/nx/search/jobs/","","","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","Saudi Arabia","Hourly: $13.00 - $25.00","Expert","Est. time:","Less than 1 month, Less than 30 hrs/week","I have a fully developed, mobile-responsive website and the source code is ready. I’m looking for a web  or DevOps specialist to help me with the following:

Scope of Work:
Domain & Hosting Setup:

Help me choose and register a domain name.

Recommend and set up reliable hosting (if not already chosen).

Deploy the website from the existing codebase.

Deployment:

Ensure smooth deployment of the code (HTML/CSS/JS or any other  it’s built on).

Optimize performance for speed and SEO readiness.

Google Analytics Integration:

Add Google Analytics to all relevant pages.

Confirm correct data tracking and basic configuration.

Ad Integration Readiness:

Prepare the website to be eligible for Google AdSense or other ad networks.

Ensure compliance with policies (cookie consent, privacy policy, etc.).

Guide or assist with submitting to Google AdSense if needed.

Requirements:
Proven experience with website deployment and domain configuration.

Familiarity with Google Analytics and AdSense integration.

Strong understanding of SEO and web performance basics.

Good communication and ability to walk me through the process if needed.

Deliverables:
Fully deployed live website under a custom domain.

Working Google Analytics setup.

Site prepared for advertising (ideally submitted to AdSense or other networks).

Please share similar projects you’ve completed and the platforms you prefer for hosting (e.g., Vercel, Netlify, Hostinger, GoDaddy, etc.).

Looking forward to working with a reliable and proactive freelancer!","developer","stack","","Full-Stack Development","Web Application","Google Analytics","AngularJS","Angular","","5 to 10",""
"Software Engineer (India, Remote, 20 Hours/Week, Long Term)","https://www.upwork.com/jobs/Software-Engineer-India-Remote-Hours-Week-Long-Term_~021915351555646135241/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 4.5 out of 5.","4.5","4.53 Stars, based on 466 feedbacks","$1M+","United States","Hourly: $7.00 - $7.00","Intermediate","Est. time:","More than 6 months, Less than 30 hrs/week","Please read the entire description before applying for this job.

Requirements


- Resident of India

- 5+ years of experience as a software engineer

- Prior job experience as a Senior Software Engineer or higher

- College level English skills

- Experience using AWS, Python, Gitlab, Kubernetes, Rust, etc

- All work must be performed using Upwork’s time tracker application


Duties & Responsibilities

- Maintain our existing code base of around 100,000 lines.

- Advance the existing code base with re-writes that provide added efficiency and scalability.

- Convert whitepaper instructions for new products and features into code that is deployed to production.

- Write automated testing code for new products and features deployed to production.

- Troubleshoot and fix bugs as they arise.

For all duties and responsibilities, CTO oversight and guidance will be provided to you in a one on one relationship.


Commitments

- Ability to work 20 hours per week


To Apply

When applying for this job, include “I have read the job description.” at the top of your application before the rest of your application information.","","","","","Python","Kubernetes","Amazon Web Services","","","5 to 10",""
"Web authoring editor and education platform","https://www.upwork.com/jobs/Web-authoring-editor-and-education-platform-span-class-highlight-development-span_~021915315653198981277/?referrer_url_path=/nx/search/jobs/","development","","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Stars, based on 6 feedbacks","$3K+","South Korea","Hourly","Intermediate","Est. time:","Less than 1 month, Less than 30 hrs/week","-Web authoring tool 
- Drawing canvas tool
- Service platform for teacher and students (School)","","","","Web Development","Artificial Intelligence","Mobile App","","","","10 to 15",""
"Integrate Google Maps API into React.js App","https://www.upwork.com/jobs/Integrate-Google-Maps-API-into-React-App_~021915330555077457181/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Ukraine","Fixed price","Expert","Est. budget:","$50.00","We're building a feature that involves maps, geolocation, and custom markers. Looking for a React.js  who can integrate Google Maps API into our existing app. Bonus if you’ve worked with location-based filtering or search functionalities before.","developer","","","","JavaScript","React","Google Maps API","HTML","API Integration","15 to 20",""
"AI Automation and Web  Specialist Needed","https://www.upwork.com/jobs/Automation-and-Web-span-class-highlight-Development-span-Specialist-Needed_~021915367238485040818/?referrer_url_path=/nx/search/jobs/","Development","","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Stars, based on 4 feedbacks","$400+","IND","Fixed price","Intermediate","Est. budget:","$30.00","We are seeking a talented professional with expertise in AI automation and web . The ideal candidate will be responsible for building and implementing automated solutions that enhance our web applications. You should have a strong understanding of AI technologies and web frameworks to streamline processes and improve user experience. If you're passionate about combining AI with web  to create innovative solutions, we'd love to hear from you!","development","development","","Web Development","Python","JavaScript","WordPress","Artificial Intelligence","","Less than 5",""
"GitHub Action  for Markdown Sync with Supabase","https://www.upwork.com/jobs/GitHub-Action-span-class-highlight-Developer-span-for-Markdown-Sync-with-Supabase_~021915309300135752989/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","South Africa","Fixed price","Intermediate","Est. budget:","$125.00","We're seeking an experienced  to create a GitHub Action that syncs markdown files from GitHub to Supabase. The ideal candidate will ensure the markdown files are properly parsed before syncing. You'll need to have a strong understanding of GitHub Actions, APIs, and markdown processing. This project is crucial for our workflow automation, and we are looking for someone who can deliver quality results efficiently. If you have experience with similar projects and a passion for automation, we'd love to hear from you.","developer","","","","GitHub","Python","Git","JavaScript","API","Less than 5",""
"MERN   for Social Media Web and App","https://www.upwork.com/jobs/MERN-span-class-highlight-Stack-span-span-class-highlight-Developer-span-for-Social-Media-Web-and-App-span-class-highlight-Development-span_~021915297274670944343/?referrer_url_path=/nx/search/jobs/","Stack","Developer","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","United States","Hourly: $8.00 - $15.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We're seeking a skilled MERN   to create engaging social media web and mobile applications. The ideal candidate will have a strong background in Postgresql, Express.js, React.js, and Node.js, and Flutter with a passion for building user-friendly interfaces and robust backend services. You will collaborate with our design team to implement features that enhance user interaction and community engagement. If you're innovative and ready to take on a challenge, we want to hear from you!","Stack","developer","","","PostgreSQL","ExpressJS","Node.js","Flutter","","10 to 15",""
"Custom JavaScript Feature for GoHighLevel Phone Section (WATCH VIDEO BELOW)","https://www.upwork.com/jobs/Custom-JavaScript-Feature-for-GoHighLevel-Phone-Section-WATCH-VIDEO-BELOW_~021915350806757350345/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Stars, based on 4 feedbacks","$1K+","GBR","Fixed price","Intermediate","Est. budget:","$100.00","Please watch this video: https://www.loom.com/share/a5f1bbbc23e64f31a187e9757fd2719e?sid=a97a72c5-ffe6-4cb3-aee8-c6961d955e6f

We are seeking a skilled  to implement a small custom feature in the phone section of GoHighLevel using JavaScript. The ideal candidate will have experience with GoHighLevel's platform and a strong understanding of JavaScript. This task involves understanding our requirements and providing efficient solutions in a timely manner. If you are detail-oriented and passionate about enhancing user experiences, we would love to hear from you.","developer","","","","JavaScript","CSS","PHP","jQuery","HTML","5 to 10",""
"Build Two Ultra-Simple MVPs (BBUUYY & SSEELL) + Landing Page for BBUUYY","https://www.upwork.com/jobs/Build-Two-Ultra-Simple-MVPs-BBUUYY-SSEELL-Landing-Page-for-BBUUYY_~021915353223473416557/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Germany","Hourly","Intermediate","Est. time:","Less than 1 month, Less than 30 hrs/week","Project Title:
Build Two Ultra-Simple MVPs (BBUUYY & SSEELL) + Landing Page for BBUUYY

Project Overview:
We are seeking a skilled freelancer to  two extremely simple MVPs for our startup concepts, BBUUYY and SSEELL, along with a basic landing page for BBUUYY. The goal is to create minimalistic prototypes that effectively communicate our ideas to potential investors and affiliate partners.​
 Project Scope:
BBUUYY MVP:
A basic prototype demonstrating the core functionality of BBUUYY.
Should showcase the user journey and primary features.
Focus on simplicity and clarity over complexity.​
Fiverr.com
SSEELL MVP:
A straightforward prototype tailored for B2B users, specifically second-hand store owners.
Highlight the benefits and value proposition of SSEELL.
Include a feature allowing users to express interest or intent, such as signing a Letter of Intent (LOI).​
BBUUYY Landing Page:
A simple, informative landing page introducing BBUUYY.
Designed to inform affiliate partners about our mission and offerings.
Should include sections like About, Features, and Contact.​
⏱️ Timeline:
Completion expected within 2-3 weeks.​
 Ideal Freelancer:
Experience in developing MVPs and landing pages.
Proficient in user-friendly design and clear communication.
Ability to work independently and deliver within the stipulated timeframe.​
 Deliverables:
Functional MVPs for BBUUYY and SSEELL.
Live landing page for BBUUYY.
Source files and documentation.​
 How to Apply:
Please provide:
A brief overview of your experience with MVP and landing page .
Examples of similar projects you've completed.
Your proposed approach, yr budget idea and timeline for this project.​
Best wishes 
Sven","develop","development","","Web Development","ChatGPT","API Integration","API","JavaScript","Web Application","10 to 15",""
"Convert Application to Multi-Tenant Architecture","https://www.upwork.com/jobs/Convert-Application-Multi-Tenant-Architecture_~021915307555258175575/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Malaysia","Fixed price","Expert","Est. budget:","$550.00","We are seeking an experienced  to convert our existing application into a multi-tenant architecture. This transformation will enhance the scalability and efficiency of our software, allowing multiple clients to utilize the same application instance with isolated data. The ideal candidate should have a strong background in software architecture, cloud solutions, and data security practices. If you have experience implementing multi-tenancy in SaaS applications, we want to hear from you!

The application is developed in using the following tech : .NET core 7, Angular 15, MySql, Entity framework.","developer","stack","","","ASP.NET Core","Angular",".NET Framework","MySQL","Architectural Design","5 to 10",""
"Bubble.io Fabric.js Image Editing Tool (AI Sketch, Erase, Expand, Inpaint with Replicate/Flux)","https://www.upwork.com/jobs/Bubble-Fabric-Image-Editing-Tool-Sketch-Erase-Expand-Inpaint-with-Replicate-Flux_~021915329620021618277/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 4.4 out of 5.","4.4","4.42 Stars, based on 7 feedbacks","$1K+","Romania","Hourly: $15.00 - $35.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We’re building a custom image editing tool inside a Bubble.io app using a Fabric.js-based Canva plugin, and we want to add AI-powered editing features using Replicate’s Flux models.

🔍 What We Need
We need someone experienced with:

Bubble.io
Fabric.js (image object control, drawing, masking, scaling)
Replicate API (especially Flux Sketch, Erase, Inpaint, Expand models)
JavaScript logic to manage two Fabric.js canvases (main + popup mask canvas)

🧠 Features We Want to Build
We're integrating AI editing features like:

🛠️ Fix (AI Inpainting) – [CURRENT TASK]
User selects an image → opens popup → draws mask → writes a prompt → image + mask + prompt sent to Flux Inpaint model → result returned and replaces the original image.

✏️ Sketch to Image
User draws rough sketch → sends with a prompt → Flux Sketch returns a polished, AI-generated result.

🧽 Erase (Object Removal)
User draws over unwanted areas → prompt + mask sent → Flux Erase returns a clean version without the object.

↔️ Expand (Outpaint)
User selects an image → expands canvas → draws + writes prompt → Flux Expand generates AI-filled surroundings.

✅ What’s Already Built
Bubble app with Fabric.js-based Canva editor
Popups with second Fabric.js canvas
JavaScript integration between main canvas and popup
Selection system with image metadata (url, width, height)
Working Replicate API connection (Flux models + BiRefNet for background removal)

❌ Problems We Need Help With
Making sure the popup canvas doesn't break or interfere with the main canvas
Ensuring image + canvas resize correctly to fit container while preserving aspect ratio
Avoiding “image not selected” bugs after popup is opened
Fully isolating popup canvas behavior (clean, reusable)
Handling drawing masks with correct scaling and positioning

🔧 Bonus If You Can Help With:
Supporting undo mask, reset, or image export workflows
Improving UX polish (tooltips, progress loaders, buttons)
Design consistency between canvases and app UI

⏱ Timeline
We’re mid-dev and need immediate help, especially with the Fix/Inpaint flow. Fast iteration and communication are key — ideally results in 2–4 days.

💬 To Apply
Please include:
Projects you've worked on with Bubble, Fabric.js, or Replicate
Links to working editors/tools (if any)
Your availability & timezone","","","","Web Development","JavaScript","CSS","HTML","Bubble.io","","5 to 10",""
"vibe coding AI assisted rapid deployer needed.","https://www.upwork.com/jobs/vibe-coding-assisted-rapid-deployer-needed_~021915306932517277783/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 4.7 out of 5.","4.7","4.65 Stars, based on 7 feedbacks","$2K+","Thailand","Hourly: $5.00 - $9.00","Intermediate","Est. time:","Less than 1 month, Less than 30 hrs/week","need to transfer our project from localhost to github
load it from github to vercel
tie in domain to vercel account
fix a sign up/ sign out and proper page opening in our code.  
deploy all remaining items in spec with copilot/cursor for rapid deployment.  

IF you are not experienced with vibe coding please do not apply

make sure all sections operate properly per our spec.  you should  with cursor so time and cost to  is slashed significantly. 

tell us your experience with AI augmented coding and deployment, cursor+vercel+supabase deployments and then we will outline our spec in more detail.  Please provide link to your github.","develop","develop","","","Vercel","GitHub","Git","Node.js","","Less than 5",""
"React & Django Expert for ongoing project","https://www.upwork.com/jobs/React-Django-Expert-for-ongoing-project_~021915315655427493376/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 5.0 out of 5.","5.0","4.99 Stars, based on 475 feedbacks","$10K+","United States","Fixed price","Intermediate","Est. budget:","$5.00","I’m looking for an experienced  to fix a bug related to Supabase integration in my project. The application uses React for the frontend and Django for the backend.

Responsibilities:
Debug and resolve issues with Supabase Authentication and Authorization
Provide clear explanations of the cause and solution
Suggest improvements to enhance stability and reliability (if possible)

Requirements:
Strong experience with React and Django
Familiarity with Supabase Authentication and Authorization
Excellent problem-solving skills and clear communication

Looking forward to collaborating!","developer","","","Web Development","React","Django","JavaScript","CSS","HTML","5 to 10","Python"
"**School Management System Plugin for WordPress**","https://www.upwork.com/jobs/School-Management-System-Plugin-for-WordPress_~021915321532422039141/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 4.4 out of 5.","4.4","4.36 Stars, based on 33 feedbacks","$20K+","Norway","Fixed price","Expert","Est. budget:","$200.00","Hi

I need somebody who has worked on this pluging School Management System for Wordpress before.

Please ONLY apply if you have worked on it and can share some work related to it.

https://codecanyon.net/item/school-management-system-for-wordpress/11470032

The job is to fix some issues and maybe also support would be needed in future time for the client","","","","","WordPress","PHP","MySQL","JavaScript","CSS","15 to 20","WordPress Plugin"
"React Native  for AI NLP App","https://www.upwork.com/jobs/span-class-highlight-Full-span-span-class-highlight-Stack-span-React-Native-span-class-highlight-Developer-span-for-NLP-App_~021915269307816211741/?referrer_url_path=/nx/search/jobs/","Full","Stack","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","United Arab Emirates","Fixed price","Expert","Est. budget:","$200.00","We are seeking an experienced   React Native  to create a mobile application that leverages AI and Natural Language Processing (NLP). The ideal candidate will have a strong background in both front-end and back-end , as well as expertise in integrating AI technologies. You will be responsible for designing, developing, and deploying the application, ensuring a seamless user experience. If you have a passion for innovative technology and a proven track record in React Native , we would love to hear from you!","Full","Stack","Developer","","React Native","Node.js","React","JavaScript","Python","5 to 10",""
"Angular + Three.JS - Contract - India (KK)","https://www.upwork.com/jobs/Angular-Three-Contract-India_~021915300253014959717/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Stars, based on 8 feedbacks","$8K+","India","Hourly: $8.00 - $13.00","Intermediate","Est. time:","More than 6 months, 30+ hrs/week","Fullstack 
Exp - 6+ Yrs
Location: Remote
Contract: 3 month extendable

1.	Should have at least 6+ years of overall experience with Angular, Three.JS, ES6, HTML, CS
2.	Should have strong knowledge on Canvas , Canvas Rendering, Animation and Responsive Design
3.	Knowledge about browser-based 3D rendering and expertise in 3D graphics
4.	Collaborate with cross-functional teams, including designers, backend , and UX/UI specialists, to deliver high-quality 3D web experiences.
5.	Optimize 3D models and assets for performance and efficiency in web environments.","Developer","Development","developers","","Angular","Three.js","","","","5 to 10",""
"Backend  for E-commerce Platform","https://www.upwork.com/jobs/Backend-span-class-highlight-Developer-span-for-commerce-Platform_~021915338573507697609/?referrer_url_path=/nx/search/jobs/","Developer","","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","Spain","Fixed price","Intermediate","Est. budget:","$100.00","We are seeking an experienced backend  to support the  of an e-commerce platform similar to Aroma-Zone. The ideal candidate will have a strong understanding of e-commerce best practices and experience with various backend technologies. Responsibilities include building and maintaining server-side applications, optimizing database performance, and ensuring system security. If you have a passion for creating seamless online shopping experiences and meet the qualifications, we’d love to hear from you!","developer","development","","Web Development","Ecommerce","API","PHP","API Integration","","10 to 15",""
"Create Gmail or Outlook Plugin","https://www.upwork.com/jobs/Create-Gmail-Outlook-Plugin_~021915290409369266187/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 4.9 out of 5.","4.9","4.86 Stars, based on 5 feedbacks","$20K+","United States","Hourly: $15.00 - $35.00","Intermediate","Est. time:","Less than 1 month, Less than 30 hrs/week","I am working with several customers that have their data stored in either Google Drive or Sharepoint and I want to create a new email plugin that helps them access their data directly from their email. 

This first project is a proof of concept, and I am open to working with either Outlook or Google as the initial prototype. The data we are working with is minimal and clean.

The requirements are that via the plugin, I should be able to choose from a drop down material list and then select a check box that will allow me to attach documents and a table of information into the email. 

See loom recording here: https://www.loom.com/share/9968163278e54a1d951983764ef2f715?sid=2f2830cf-687b-4155-8349-271c83f0442e

For those of you who want to play with the sample data set, it is here: https://drive.google.com/drive/folders/1HQQvykdBEVDmEqv0JG2begHDA6tqiMWp?usp=drive_link



***Do Not Email Me Directly***
Please only message me on upwork so I can keep track. I will actively ignore any emails or calls.","","","","Full-Stack Development","","","","","","20 to 50",""
